object_type,materials,n,made_of (primary),made_of (support),classified_as (object type) (primary),classified_as (object type) (secondary),technique,editorial notes,
Sculpture,terre cuite,1021,300010669,,300047090,,300264383;300053887,,
Painting,"Öl, auf Leinwand",992,300015050,300014078,300033618,,300054216;300178684,,
Drawing,in chalk,931,300011727,,300033973,300395514,300054196,second object type for chalk drawing,
Painting,sur cuivre,922,,300011020,300033618,,300054216,,
Sculpture,marbre,912,300011443,,300047090,,300264383;300186208,,
Pastel,,855,300404632,,300076922,,300054196,,
Painting,sur panneau,842,,300014657,300033618,,300054216,,
Pastel,in crayon,824,300404632,,300076922,,300054196,,
Dessin,bistre,812,300013351,,300033973,,300054196,,
Dessin,à la plume,758,,,300033973,,300054196;300054196,,
Painting,"Öl, auf Holz",754,300015050,300014657,300033618,,300054216;300178684,,
Enamel,,729,,,300178264,,300053773,,
Skulptur,Terrakotta,713,300010669,,300047090,,300264383;300053887,,
Dessin,à la plume & au bistre,704,300013351,,300033973,,300054196;300054196,,
Émail,,698,,,300178264,,300053773,,
Dessin,à la sanguine,685,300080064;300011727,,300033973,300395514,300054196,,
Dessin,plume et bistre,633,300013351,,300033973,,300054196;300054196,,
Zeichnung,Tinte,633,300013029,,300033973,,300054196,,
Painting,on board,632,,300014224,300033618,,300054216,,
Gemälde,Öl auf Malpappe,627,300015050,300014224,300033618,,300054216;300178684,,
Dessin,plume & bistre,613,300013351,,300033973,,300054196;300054196,,
Painting,on wood,585,,300014657,300033618,,300054216,,
Sculpture,in terracotta,577,300010669,,300047090,,300264383;300053887,,
Dessin,pierre noire,539,300080058,,300033973,,300054196,,
Sculpture,marbre blanc,526,300011443,,300047090,,300264383;300186208,,
Gemälde,Öl auf Papier,480,300015050,300014109,300033618,,300054216;300178684,,
Skulptur,Alabaster,478,300011101,,300047090,,300264383;300186208,,
Skulptur,Stein,474,300011176,,300047090,,300264383;300186208,,
Drawing,in pen,470,,,300033973,,300054196;300054196,,
Painting,op koper,470,,300011020,300033618,,300054216,,
Dessin,au bistre,457,300013351,,300033973,,300054196,,
Drawing,in ink,437,300015012,,300033973,,300054196,,
Skulptur,Ton,419,300010439,,300047090,,300264383,,
Sculpture,plâtre,418,300014927,,300047090,,300264383,,
Gemälde,auf Glas,376,,300010797,300033618,,300054216,,
Miniature,in watercolor,370,300015045,,300033936,,300054216;300053363,,
Dessin,encre de chine,369,300015017,,300033973,,300054196,,
Aquarelle,gouache,363,300070114,,300078925,,300404215;300054196,,
Dessin,à la pierre noire,352,300080058,,300033973,,300054196,,
Zeichnung,Aquarell auf Papier,348,300015045,300014109,300033973,300078925,300053363;300054196,,
GEMÄLDE,auf Leinwand,347,,300014078,300033618,,300054216,,
Painting,on marble,342,,300011443,300033618,,300054216,,
Dessin,colorié,336,,,300033973,,300054196,watercolor? probably not,
Gemälde,Tempera,336,300015062,,300033618,300389785,300054216,,
Miniatur,auf Pergament,331,,300011852,300033936,,300054216,,
Zeichnung,Pinsel,327,,,300033973,,300054094;300054196,,
Sculpture,ivoire,323,300011857,,300047090,300047325,300264383;300053149,second object type for ivories?,
Drawing,on vellum,317,,300011852,300033973,,300054196,,
Dessin,à l'encre de la Chine,312,300015017,,300033973,,300054196,,
Drawing,in bister,306,300013351,,300033973,,300054196,,
Zeichnung,"Feder, Pinsel",299,,,300033973,,300054196;300054094;300054196,,
Zeichnung,"Feder, Tusche",299,300015012,,300033973,,300054196;300054196,,
Gemälde,Glas,289,,300010797,300033618,,300054216,,
Dessin,aquarelle,287,300015045,,300033973,300078925,300053363;300054196,,
Dessin,plume et lavé,286,300011051,,300033973,300266219,300054196;300404638,material wash and object type pen and wash drawing,
Drawing,in pen and bister,286,300013351,,300033973,,300054196,,
painting,,285,,,300033618,,300054216,,
Painting,"on canvas, on panel",281,,300014078;300014657,300033618,,300054216,,
Gemälde,Öl auf Leinen,279,300015050,300014078;300014069,300033618,,300054216;300178684,used both linen and canvas codes for support,
Gemälde,Öl auf Pappe oder Papier,279,300015050,300014224;300014109,300033618,,300054216;300178684,,
Dessin,pierre-noire,274,300080058,,300033973,,300054196,,
Zeichnung,Kreide auf Papier,273,300011727,300014109,300033973,,300054196,,
Painting,auf Holz,270,,300014657,300033618,,300054216,,
Sculpture,in brass,267,300010946,,300047090,300044016,300264383,,
Aquarell,Gouache,266,300070114,,300078925,,300404215;300054196,,
Sculpture,terre-cuite,260,300010669,,300047090,,300264383;300053887,,
Dessin,encre de Chine,256,300015017,,300033973,,300054196,,
Sculpture,Bronze,256,300010957,,300047090,300047333,300264383,,
Painting,on pannel,251,,300014657,300033618,,300054216,,
Sculpture,in ivory,251,300011857,,300047090,300047325,300264383;300186208,,
Painting,in olyverf,250,300015050,,300033618,,300054216,,
Gemälde,Tempera auf Holz,249,300015055,300014657,300033618,300389785,300054216,,
GEMÄLDE,auf Holz,239,,300014657,300033618,,300054216,,
Gemälde,auf Papier,235,,300014109,300033618,,300054216,,
Painting,on paper,232,,300014109,300033618,,300054216,,
Peinture,sur toile collée sur bois,227,,300014078;300014657,300033618,,300054216,,
Dessin,trois crayons,219,300011727,,300033973,300395514,300101910;300054196,à trois crayons (technique),
Dessin,sanguine sur papier blanc,218,300080064;300011727,300014109,300033973,,300101910;300054196,,
Zeichnung,Farbstift,209,300012862,,300033973,,300054196,,
GEMÄLDE,Öl auf Leinwand,206,300015050,300014078,300033618,,300054216;300178684,,
Zeichnung,"Tusche, Feder",197,300015012,,300033973,,300054196;300054196,,
Miniatur,Öl auf Elfenbein,193,300015050,,300033936,,300054216;300178684,,
Zeichnung,auf Papier,187,,300014109,300033973,,300054196,,
Sculpture,in wax,186,300014585,,300047090,,300264383,,
Gemälde,Öl auf Blech,185,300015050,300223016,300033618,,300054216,on sheet metal?,
Tapestry,,181,,,300205002,,300053642,,
Painting,on  copper,173,,300011020,300033618,,300054216,,
Dessin,plume & encre de chine,171,300015017,,300033973,,300054196;300054196,,
Gemälde,Öl auf Malkarton,170,300015050,300014224,300033618,,300054216;300178684,,
Drawing,in red chalk,166,300080064;300011727,,300033973,300395514,300054196,,
Miniatur,auf Kupfer,166,,300011020,300033936,,300054216,,
Peinture,huile,166,300015050,,300033618,,300054216;300178684,,
Miniatur,Öl auf Kupfer,164,300015050,300011020,300033936,,300054216;300178684,,
Skulptur,Eisen,164,300011002,,300047090,,300264383,,
Dessin,bistre rehaussé de blanc,159,300013351,,300033973,,300054196,,
Painting,toile,158,,300014078,300033618,,300054216,,
Gemälde,auf Pergament,157,,300011852,300033618,,300054216,,
Dessin,mine de plomb,156,300410335,,300033973,300410334,300054196,,
Zeichnung,"Bleistift, Aquarell",156,300015045;300410335,,300033973,300078925,300054196,,
Dessin,crayon rouge,155,300080064;300011727,,300033973,300395514,300054196,"assuming ""red chalk""",
Zeichnung,"Aquarell, Bleistift",154,300015045;300410335,,300033973,300078925,300053363;300054196,,
Miniatur,Öl,147,300015050,,300033936,,300054216;300178684,,
Peinture,sur papier,144,,300014109,300033618,,300054216,,
Dessin,pierre noire sur papier blanc,143,300080058,300014109,300033973,,300054196,,
Gemalde,Öl auf Leinwand,142,300015050,300014078,300033618,,300054216;300178684,,
Painting,on stone,142,,300011176,300033618,,300054216,"""stone (worked rock)""? or should it be stone by form or function?",
Skulptur,"Bronze, Elfenbein",142,300010957;300011857,,300047090,300047333,300264383,,
Skulptur,Gips,136,300014927,,300047090,,300264383;300053104,,
Skulptur,Metall,135,300010900,,300047090,,300264383,,
Painting,"Öl, auf Kupfer",134,300015050,300011020,300033618,,300054216;300178684,,
Sculpture,in lead,134,300011022,,300047090,,300264383,,
Dessin,"gouache sur vélin, fond blanc de plomb",133,300070114,300011852,300033973,300078925,300054196,,
Miniatur,Aquarell auf Elfenbein,131,300015045,300011857,300033936,,300054216;300053363,,
Dessin,plume & lavé,130,300011051,,300033973,300266219,300054196;300404638,,
Zeichnung,"Feder, Aquarell",129,300015045,,300033973,300078925,300054196,,
Zeichnung,Tempera,129,300015062,,300033973,300389785,300054196,,
Gemälde,Tempera,,,,300389785,,300054216,,
Painting,op doek op paneel,126,,300014078;300014657,300033618,,300054216,,
Dessin,bistre sur papier blanc,125,300013351,300014109,300033973,,300054196,,
Dessin,lavé au bistre,125,300013351;300011051,,300033973,,300054196;300404638,,
Pastel,,125,300404632,,300076922,300076922,300054196,,
Dessin,gouache sur vélin,120,300070114,300014078,300033973,300078925,300404215;300054196,,
Dessin,crayon noir & blanc,119,300080058;300011727,,300033973,300395514,300054196,chalk?,
Painting,toile sur bois,118,,300014078;300014657,300033618,,300054216,,
Painting,in fresco,117,,,300033618,300177433,300053357;300054216,,
Zeichnung,"Feder, Tuschpinsel",117,300015012,,300033973,,300054196;300054196,,
Aquarell,Gouache,116,300070114,,300078925,,300404215;300054196,,
Aquarell,Gouache,115,300070114,,300078925,,300404215;300054196,,
Miniatur,auf Karton,115,,300014224,300033936,,300054216,,
Sculpture,cire,115,300014585,,300047090,,300264383,,
Painting,on leather,113,,300011845,300033618,,300054216,,
Gemälde,auf Elfenbein,111,,300011857,300033618,,300054216,,
Zeichnung,"Aquarell, Feder",111,300015045,,300033973,300078925,300054196;300053363;300054196,,
Painting,auf Kupfer,110,,300011020,300033618,,300054216,,
Sculpture,bois,110,300011914,,300047090,,300264383;300186208,,
Dessin,aux trois crayons,109,300011727,,300033973,300395514,300101910;300054196,à trois crayons (technique),
Dessin,plume sur papier blanc,108,,300014109,300033973,,300054196;300054196,,
Sculpture,in plaster,108,300014927,,300047090,,300264383;300053104,"using ""plaster of Paris""",
Zeichnung,Tinte; laviert,108,300013029,,300033973,,300054196,,
Dessin,colorés,106,,,300033973,,300054196,watercolor? probably not,
GEMÄLDE,Öl auf Holz,102,300015050,300014657,300033618,,300054216;300178684,,
Painting,[on copper],102,,300011020,300033618,,300054216,,
Zeichnung,Bister,102,300013351,,300033973,,300054196,,
Zeichnung,Blei auf Papier,102,300410335,300014109,300033973,,300054196,"used ""pencil (marking material)""",
Aquarell,,101,300015045,,300078925,,300054216;300053363,,
GEMÄLDE,,101,,,300033618,,300054216,,
Dessin,sur papier,99,,300014109,300033973,,300054196,,
Dessin,plume et encre de Chine,98,300015017,,300033973,,300054196;300054196,,
Skulptur,Stuck,98,300014927,,300047090,,300264383,,
Peinture,sur marbre,97,,300011443,300033618,,300054216,,
Dessin,plume & lavis,96,300011051,,300033973,300266219,300054196;300404638,second object type pen and wash drawing,
Engraved gemstone,,96,300201964,,300047203,,300053829,"Object type: ""carvings (visual works). Technique: ""engraving (action)""?",
Zeichnung,Tuschpinsel,96,300015012,,300033973,,300054094;300054196,,
Dessin,à la plume & à l'encre de la Chine,95,300015017,,300033973,,300054196;300054196,,
Dessin,crayon noir,95,300080058;300011727,,300033973,300395514,300054196,"assuming ""black chalk""",
Gemälde,auf Blech,95,,300223016,300033618,,300054216,on sheet metal?,
Sculpture,in wood,95,300011914,,300047090,,300264383,,
Drawing,in black chalk,94,300080058;300011727,,300033973,300395514,300054196,,
Gemälde,Holz,94,,300014657,300033618,,300054216,,
Skulptur,Wachs,94,300014585,,300047090,,300264383,,
Dessin,"plume, encre de chine",93,300015017,,300033973,,300054196;300054196,,
Gemälde,Öl auf Holz.,92,300015050,300014657,300033618,,300054216;300178684,,
Dessin,à la plume & lavé,88,300011051,,300033973,300266219,300054196;300404638,second object type pen and wash drawing,
Dessin,"plume, bistre et rehauts de blanc",88,300013351,,300033973,,300054196;300054196,,
Gemälde,Öl auf Metall,88,300015050,300010900,300033618,,300054216;300178684,,
Painting,on vellum,88,,300011852,300033618,,300054216,,
Zeichnung,Kohle auf Papier,88,300012862,300014109,300033973,,300054196,,
Miniatur,Email,87,300147678,,300033936,300178264,300053773,,
Dessin,"à la plume, lavé de bistre",86,300013351;300011051,,300033973,300266219,300054196;300404638,second object type pen and wash drawing,
Drawing,in watercolor,86,300015045,,300033973,300078925,300053363;300054196,,
Painting,on slate,86,,,,,,,
Skulptur,Bein,86,,,,,,,
Drawing,on paper,85,,,,,,,
Gemälde,Pastell,85,,,,,,,
Dessin,plume et lavis,84,,,,,,,
Dessin,plume et lavis bistre,84,,,,,,,
Peinture,sur bois [ou] sur toile,83,,,,,,,
Sculpture,marbre de Paros,83,,,,,,,
Skulptur,Kupfer,83,,,,,,,
Zeichnung,Öl auf Papier,83,,,,,,,
Dessin,plume et bistre sur papier blanc,82,,,,,,,
Dessin,plume et coloré,82,,,,,,,
Dessin,sanguine & pierre noire,82,,,,,,,
Dessin,coloriés,81,,,,,,,
Drawing,in pen & bister,81,,,,,,,
Miniatur,auf Porzellan,81,,,,,,,
Painting,on gold ground,81,,,,,,,
Zeichnung,Feder auf Papier,80,,,,,,,
Sculpture,in stone,79,,,,,,,
Drawing,in colours,78,,,,,,,
Dessin,plume & lavis d'encre de chine,77,,,,,,,
Gemälde,auf Metall,77,,,,,,,
Peinture,sur ardoise,77,,,,,,,
Zeichnung,"Blei, Aquarell",77,,,,,,,
Peinture,sur verre,76,,,,,,,
Dessin,bistre et rehauts de blanc,75,,,,,,,
Dessin,plume & lavis de bistre,75,,,,,,,
Painting,"on paper, on panel",75,,,,,,,
Dessin,encre de la Chine,73,,,,,,,
Dessin,"plume, encre de chine, bistre",73,,,,,,,
Gemalde,Öl auf Holz,73,,,,,,,
Gemälde,auf Porzellan,73,,,,,,,
Sculpture,in alabaster,72,,,,,,,
Peinture,à l'huile,71,,,,,,,
Dessin,au crayon rouge,70,,,,,,,
Drawing,in pen and ink,70,,,,,,,
Painting,bois,70,,,,,,,
Peinture,sur carton,70,,,,,,,
Sculpture,albâtre,70,,,,,,,
Zeichnung,"Blei, Tusche",70,,,,,,,
Zeichnung,Bleistift auf Papier,70,,,,,,,
Miniatur,auf Papier,69,,,,,,,
Peinture,toile collée sur bois,69,,,,,,,
Zeichnung,Gouache auf Papier,69,,,,,,,
Painting,on alabaster,67,,,,,,,
Dessin,"au bistre, rehaussé de blanc",66,,,,,,,
Dessin,lavé à l'encre de chine,66,,,,,,,
Miniatur,Gouache,65,,,,,,,
Dessin,à la mine de plomb,64,,,,,,,
Dessin,pierre-noire sur papier blanc,64,,,,,,,
Zeichnung,"Bleistift, Tusche",64,,,,,,,
Zeichnung,"Kohle, Kreide",64,,,,,,,
Dessin,lavé à l'encre de la Chine,63,,,,,,,
Miniature,in oil,62,,,,,,,
Painting,on ivory,62,,,,,,,
Painting,on silver,62,,,,,,,
Zeichnung,Silberstift,62,,,,,,,
Dessin,"plume, lavé d'encre de chine",61,,,,,,,
Dessin,à la pierre noire sur papier blanc,60,,,,,,,
Dessin,crayon rouge sur papier blanc,60,,,,,,,
Peinture,sur marbre noir,60,,,,,,,
Sculpture,argent,60,,,,,,,
Skulptur,Blei,60,,,,,,,
Zeichnung,"Pinsel, Feder",60,,,,,,,
Dessin,"plume, crayon noir, sanguine",59,,,,,,,
Zeichnung,auf Pergament,59,,,,,,,
Zeichnung,"Feder, Blei",59,,,,,,,
Dessin,à la sanguine sur papier blanc,58,,,,,,,
Dessin,pierre noire rehaussée de blanc,58,,,,,,,
Dessin,plume et lavé au bistre,58,,,,,,,
Dessin,"plume, lavis bistre et rehauts de blanc",58,,,,,,,
Dessin,sur papier bleu,58,,,,,,,
Miniatur,Pergament,58,,,,,,,
Sculpture,bronze doré,58,,,,,,,
Zeichnung,"Feder, Sepia",58,,,,,,,
Zeichnung,"Kreide, Tinte",58,,,,,,,
Zeichnung,"Bleistift, Feder",57,,,,,,,
Dessin,aux crayons noir & blanc,56,,,,,,,
Painting,canvas,56,,,,,,,
Dessin,à la plume & lavé de bistre,55,,,,,,,
Drawing,in India ink and chalk,55,,,,,,,
Gemälde,Deckfarbe,55,,,,,,,
Painting,in olyverf op paneel,55,,,,,,,
Dessin,à la plume sur papier blanc,54,,,,,,,
Painting,in crayon,54,,,,,,,
Peinture,sur glace,54,,,,,,,
Zeichnung,"Blei, Feder",54,,,,,,,
Zeichnung,Stift,54,,,,,,,
Dessin,au bistre sur papier blanc,53,,,,,,,
Dessin,huile,53,,,,,,,
Peinture,sur toile collé sur bois,53,,,,,,,
Dessin,lavé de bistre,52,,,,,,,
Gemälde,Öl auf   Holz,52,,,,,,,
Peinture,sur albâtre,52,,,,,,,
Zeichnung,"Bleistift, Kreide",52,,,,,,,
Zeichnung,"Feder, Bleistift",52,,,,,,,
Dessin,à la plume & coloré,51,,,,,,,
Gemälde,Öltempera auf Holz,51,,,,,,,
Gemälde,Tempera auf Leinwand,51,,,,,,,
Miniatur,Porzellan,51,,,,,,,
Miniature,sur vélin,51,,,,,,,
Painting,on black marble,51,,,,,,,
Dessin,"à la plume, lavé d'encre de la Chine",50,,,,,,,
Dessin,crayon,50,,,,,,,
Gemälde,Grisaille,50,,,,,,,
Gemälde,Öl auf   Leinwand,50,,,,,,,
Zeichnung,Pastell auf Karton,50,,,,,,,
Drawing,tinted,49,,,,,,,
Painting,on carton,49,,,,,,,
Peinture,sur bois [ou] sur cuivre [ou] sur toile,49,,,,,,,
Zeichnung,Deckfarben,49,,,,,,,
Dessin,pierre noire sur papier,48,,,,,,,
Drawing,in oil,48,,,,,,,
Dessin,"plume, encre de chine, crayon noir",47,,,,,,,
Dessin,crayon noir & blanc sur papier,46,,,,,,,
Peinture,sur bois ou sur toile,46,,,,,,,
Zeichnung,Deckfarbe,46,,,,,,,
Zeichnung,Öl auf Leinwand,46,,,,,,,
Dessin,à la sanguine & pierre noire,45,,,,,,,
Dessin,sur papier blanc,45,,,,,,,
Drawing,in india ink,45,,,,,,,
Dessin,à la plume & lavé au bistre,44,,,,,,,
Dessin,au pastel,44,,,,,,,
Dessin,lavé au bistre sur papier blanc,44,,,,,,,
Dessin,plume et lavé à l'encre,44,,,,,,,
Gemälde,Porzellan,44,,,,,,,
Skulptur,Sandstein,44,,,,,,,
Dessin,à la plume & lavé d'encre de la Chine,43,,,,,,,
Dessin,colorée,43,,,,,,,
Gemalde,auf Leinwand,43,,,,,,,
Skulptur,"Bein, Holz",43,,,,,,,
Skulptur,"Holz, Elfenbein",43,,,,,,,
Zeichnung,Grisaille,43,,,,,,,
Dessin,à la plume & lavés,42,,,,,,,
Dessin,plume & lavé de bistre,42,,,,,,,
Drawing,in pen and india ink,42,,,,,,,
Zeichnung,"Kreide, Tusche",42,,,,,,,
Dessin,"à la plume, lavé au bistre",41,,,,,,,
Dessin,crayon noir & blanc sur papier bleu,41,,,,,,,
Dessin,"crayon noir, sanguine",41,,,,,,,
Dessin,plume lavé de bistre,41,,,,,,,
Zeichnung,"Kreide, Rötel",41,,,,,,,
Zeichnung,Rötel auf Papier,41,,,,,,,
Dessin,plume & lavés,40,,,,,,,
Gemälde; Zeichnung,,40,,,,,,,
Sculpture,plâtre bronzé,40,,,,,,,
Zeichnung,Aquarell auf Pergament,40,,,,,,,
Dessin,trois crayons sur papier gris,39,,,,,,,
Painting,"in oil, on paper",39,,,,,,,
Painting,papier collé sur bois,39,,,,,,,
Sculpture,in silver,39,,,,,,,
Sculpture,terre,39,,,,,,,
Dessin,crayon noir sur papier blanc,38,,,,,,,
Dessin,pierre noire & sanguine,38,,,,,,,
Dessin,plume & bistre rehaussé de blanc,38,,,,,,,
Dessin,sanguine sur papier,38,,,,,,,
Gemälde,Tempera auf Papier,38,,,,,,,
Peinture,sur pierre de touche,38,,,,,,,
Zeichnung,"Bleistift, Tinte",38,,,,,,,
Dessin,au bistre rehaussé de blanc,37,,,,,,,
Dessin,plume et lavé à l'encre de chine,37,,,,,,,
Dessin,"sanguine, sur papier blanc",37,,,,,,,
Dessin,sur vélin,37,,,,,,,
Gemälde,auf Marmor,37,,,,,,,
Gemälde,Tempera auf Karton,37,,,,,,,
Painting,sur verre,37,,,,,,,
Sculpture,platre,37,,,,,,,
Dessin,au crayon noir & blanc,36,,,,,,,
Dessin,crayons noir & blanc,36,,,,,,,
Gemälde,Öl auf Leinwand auf Karton,36,,,,,,,
Miniatur,Silberstift,36,,,,,,,
Painting,in distemper,36,,,,,,,
Painting,panel,36,,,,,,,
Sculpture,en marbre,36,,,,,,,
Zeichnung,"Feder, Rötel",36,,,,,,,
Zeichnung,"Kreide, Aquarell",36,,,,,,,
Zeichnung,Öl,36,,,,,,,
Dessin,crayon noir et blanc,35,,,,,,,
Dessin,lavis de bistre,35,,,,,,,
Dessin,sur toile,35,,,,,,,
Miniatur,Öl auf Holz,35,,,,,,,
Painting,"in oil, on panel",35,,,,,,,
Painting,in olyverf op doek,35,,,,,,,
Skulptur,Keramik,35,,,,,,,
Zeichnung,Aquarell auf Karton,35,,,,,,,
Zeichnung,Tusche auf Papier,35,,,,,,,
Dessin,au bistre & à l'encre de la Chine,34,,,,,,,
Dessin,mine de plomb sur vélin,34,,,,,,,
Dessin,pierre noire & bistre,34,,,,,,,
Dessin,plume et lavé de bistre,34,,,,,,,
Drawing,in India ink,34,,,,,,,
Gemälde,auf Leinwand.,34,,,,,,,
Miniature,gouache,34,,,,,,,
Peinture,sur toile ou sur bois,34,,,,,,,
Tapisserie,,34,,,,,,,
Zeichnung,"Aquarell, Kreide",34,,,,,,,
Dessin,à la plume lavé de bistre,33,,,,,,,
Dessin,plume et colorié,33,,,,,,,
Dessin,"plume, lavé de bistre",33,,,,,,,
Dessin,sur papier gris,33,,,,,,,
Dessin,sur velin,33,,,,,,,
Enamel,on gold,33,,,,,,,
Gemalde,Öl auf Karton,33,,,,,,,
GEMÄLDE,Öl auf Pappe,33,,,,,,,
Sculpture,marble,33,,,,,,,
Zeichnung,"Aquarell, Deckfarbe",33,,,,,,,
Zeichnung,"Rötel, Kreide",33,,,,,,,
Zeichnung,"Tinte, Aquarell",33,,,,,,,
Dessin,bistre & encre de chine,32,,,,,,,
Dessin,pierre noire & crayon blanc,32,,,,,,,
Drawing,"in black and white chalk, on blue paper",32,,,,,,,
Gemälde,Elfenbein,32,,,,,,,
Gemälde,Leinwand,32,,,,,,,
Gemälde,Leinwand auf Holz,32,,,,,,,
Skulptur,Messing,32,,,,,,,
Skulptur,Silber,32,,,,,,,
Dessin,"à la pierre noire, sur papier blanc",31,,,,,,,
Dessin,colorées,31,,,,,,,
Dessin,"plume, crayon noir",31,,,,,,,
Drawing,in black and white chalk,31,,,,,,,
Dessin,au crayon noir,30,,,,,,,
Dessin,huile sur papier,30,,,,,,,
Dessin,pierre noire sur papier bleu,30,,,,,,,
Dessin,plume & sanguine,30,,,,,,,
Drawing,in lead,30,,,,,,,
Gemälde,Deckfarben,30,,,,,,,
Painting,cuivre,30,,,,,,,
Sculpture,en bronze,30,,,,,,,
Zeichnung,"Tusche, Kreide",30,,,,,,,
Dessin,à la plume & à l'encre de Chine,29,,,,,,,
Dessin,"à la plume, lavé au bistre & rehaussé de blanc",29,,,,,,,
Dessin,encre,29,,,,,,,
Enamel,on copper,29,,,,,,,
Peinture,sur lapis,29,,,,,,,
Skulptur,Kalkstein,29,,,,,,,
Dessin,"à la pierre noire, rehaussé de blanc",28,,,,,,,
Dessin,lavé à l'encre,28,,,,,,,
Dessin,pierre-noire et rehauts de blanc,28,,,,,,,
Dessin,plume & coloré,28,,,,,,,
Dessin,plume & encre de Chine,28,,,,,,,
Dessin,plume et encre de chine,28,,,,,,,
